"","orig.ident","nCount_RNA","nFeature_RNA","tissue","stage","gsm","source","sample_type","region_group","RNA_snn_res.0.1","seurat_clusters","RNA_snn_res.0.2","RNA_snn_res.0.3","RNA_snn_res.0.4","RNA_snn_res.0.5","RNA_snn_res.0.6","RNA_snn_res.0.7","RNA_snn_res.0.8","RNA_snn_res.0.9","RNA_snn_res.1","RNA_snn_res.1.1","RNA_snn_res.1.2","RNA_snn_res.1.3","RNA_snn_res.1.4","RNA_snn_res.1.5","RNA_snn_res.1.6","RNA_snn_res.1.7","RNA_snn_res.1.8","RNA_snn_res.1.9","RNA_snn_res.2","RNA_snn_res.2.1","RNA_snn_res.2.2","RNA_snn_res.2.3","RNA_snn_res.2.4","RNA_snn_res.2.5","RNA_snn_res.2.6","RNA_snn_res.2.7","RNA_snn_res.2.8","RNA_snn_res.2.9","RNA_snn_res.3"
"SRR2967584","Camp2015",308280.260318805,5180,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957549","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967585","Camp2015",228447.027159232,5097,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957550","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967586","Camp2015",398228.263820652,5289,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957551","iPSC 409B2","organoid",NA,"2","7","0","0","0","2","2","1","1","1","6","7","7","7","6","7","7","7","7","7","8","7","7","8","8","7","8","7","7","7","6"
"SRR2967587","Camp2015",340794.257666507,7243,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957552","iPSC 409B2","organoid",NA,"0","7","0","0","0","1","1","1","1","1","6","7","7","7","6","7","7","7","7","7","8","7","7","8","8","7","8","7","7","7","6"
"SRR2967588","Camp2015",382216.392040988,6543,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957553","iPSC 409B2","organoid",NA,"2","7","0","0","0","2","2","1","1","1","6","7","7","7","6","7","7","7","7","7","8","7","7","8","8","7","8","7","7","7","6"
"SRR2967589","Camp2015",441543.973229008,5703,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957554","iPSC 409B2","organoid",NA,"0","7","0","0","0","1","1","1","1","1","6","7","7","7","6","7","7","7","7","7","8","7","7","8","8","7","8","7","7","7","6"
"SRR2967590","Camp2015",383533.526507961,5254,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957555","iPSC 409B2","organoid",NA,"2","7","2","2","2","2","2","2","2","2","1","1","1","1","0","7","7","7","7","7","8","7","7","8","8","7","8","7","7","7","6"
"SRR2967591","Camp2015",488744.724190762,6726,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957556","iPSC 409B2","organoid",NA,"0","5","0","0","0","1","1","4","4","4","4","5","5","5","5","5","5","5","5","5","6","5","6","5","5","4","4","4","4","5","3"
"SRR2967592","Camp2015",424122.142446169,5959,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957557","iPSC 409B2","organoid",NA,"0","7","0","0","0","1","1","1","1","1","6","7","7","7","6","7","7","7","7","7","8","7","7","8","8","7","8","7","7","7","6"
"SRR2967593","Camp2015",390258.467881552,6899,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957558","iPSC 409B2","organoid",NA,"2","7","0","0","0","2","2","1","1","1","6","7","7","7","6","7","7","7","7","7","8","7","7","8","8","7","8","7","7","7","6"
"SRR2967594","Camp2015",284372.290595796,4705,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957559","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967595","Camp2015",309725.848725586,5001,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957560","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967596","Camp2015",366247.470022981,6102,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957561","iPSC 409B2","organoid",NA,"2","7","2","2","2","2","2","2","2","2","1","1","1","1","0","7","7","7","7","7","8","7","7","8","8","7","8","7","7","7","6"
"SRR2967597","Camp2015",330424.993061328,5289,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957562","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967598","Camp2015",399280.388215793,4730,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957563","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967599","Camp2015",301341.672262711,5896,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957564","iPSC 409B2","organoid",NA,"2","7","0","0","0","2","2","1","1","1","6","7","7","7","6","7","7","7","7","7","8","7","7","8","8","7","8","7","7","7","6"
"SRR2967600","Camp2015",328745.848997756,5773,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957565","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967601","Camp2015",247892.721877526,4832,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957566","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967602","Camp2015",372999.00720282,4946,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957567","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967603","Camp2015",369092.169377686,4266,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957568","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967604","Camp2015",286925.989712179,4869,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957569","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967605","Camp2015",515419.398399599,4958,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957570","iPSC 409B2","organoid",NA,"2","7","2","2","2","2","2","2","2","2","1","1","1","1","0","7","7","7","7","7","8","7","7","8","8","7","8","7","7","7","6"
"SRR2967606","Camp2015",532150.497633976,4861,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957571","iPSC 409B2","organoid",NA,"2","0","2","2","2","2","2","2","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"SRR2967607","Camp2015",475028.950721965,4807,"Microdissected cortical-like ventricle from cerebral organoid","58 days","GSM1957572","iPSC 409B2","organoid",NA,"0","7","0","0","0","1","1","1","1","1","6","7","7","7","6","7","7","7","7","7","8","7","7","8","8","7","8","7","7","7","6"
