"myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
0.801,1.25270042829561,0.602,1.81624608522549,0.926,0.466,"1","RP11-192N10.2"
0.8,0.708403774531007,0.6,1.02214298478997,1,0.995,"1","RPL41.1"
0.8,0.613032393523985,0.6,0.901194419184511,1,0.98,"1","RPL7P32"
0.8,1.42914613334183,0.6,2.06544572259613,0.882,0.355,"1","HIST1H1B"
0.8,0.819719659770978,0.6,1.42561689258995,0.985,0.63,"1","PPIAP29"
0.8,1.24658380128357,0.6,1.80673657418961,0.926,0.466,"1","CKS1BP3"
0.8,1.11210577849902,0.6,1.63660589310862,0.897,0.436,"1","CIT"
0.8,0.963710296617581,0.6,1.39847593032501,0.985,0.62,"1","RP11-488L18.10"
0.8,0.900726101760268,0.6,1.35026989895454,1,0.78,"1","RPS13P2"
0.799,0.477690550993452,0.598,0.89300747018152,0.985,0.639,"1","RPSAP9"
0.798,1.33878488252939,0.596,1.93166307278227,1,0.88,"1","HMGB2"
0.798,0.665523372085293,0.596,1.00879643423621,1,0.82,"1","CTD-2192J16.15"
0.798,0.874345685914166,0.596,1.26423964097219,1,0.92,"1","SNRPF"
0.798,0.701685590119457,0.596,1.04167075651339,1,0.857,"1","RPS3AP5"
0.798,0.804733971795681,0.596,1.16120766226319,1,0.97,"1","ANP32E"
0.796,0.644338128432978,0.592,0.9549236247052,0.985,0.718,"1","CTB-36O1.7"
0.796,1.08602268263294,0.592,1.7334399152605,0.897,0.391,"1","AC079922.2"
0.795,0.780076597088823,0.59,1.25151610747701,0.985,0.689,"1","AC079250.1"
0.795,0.625266480078593,0.59,1.48064375156111,0.941,0.486,"1","NPM1P39"
0.794,0.905243379049444,0.588,1.42335630080607,0.985,0.855,"1","HNRNPCP2"
0.793,0.474257743043618,0.586,1.68981369318353,0.868,0.361,"1","RP6-105D16.1"
0.793,0.487336544807335,0.586,1.65599124321336,0.912,0.491,"1","EEF1A1P9"
0.793,0.928621524688561,0.586,1.47662694553802,0.956,0.586,"1","RPL29P33"
0.793,0.946848824137312,0.586,1.36660551126848,1,0.652,"1","CKS1B"
0.792,0.901266095627707,0.584,1.46232210373864,0.985,0.636,"1","RPS26P31"
0.791,0.523940826773917,0.582,0.774930579316718,1,0.964,"1","KB-1208A12.3"
0.791,0.503849536082654,0.582,0.745589612994362,1,0.816,"1","RPL7P19"
0.791,0.653671583345428,0.582,0.954338702929481,1,0.92,"1","H3F3AP6"
0.791,0.835738482851148,0.582,1.21408295847607,1,0.964,"1","RPL6P27"
0.791,1.0427039396893,0.582,1.5060600077787,1,0.975,"1","KIAA0101"
0.79,0.87046260371072,0.58,1.25592503853639,1,1,"1","TUBA1B"
0.79,0.818211705204348,0.58,1.18044735250156,1,1,"1","RP11-386G11.10"
0.789,0.9153213080174,0.578,1.32492317072312,1,0.691,"1","BARD1"
0.788,0.15398218217614,0.576,1.32275049751097,0.897,0.332,"1","TRIM60"
0.788,0.837141566779881,0.576,2.0397624216723,0.779,0.239,"1","AC005884.1"
0.788,0.957894145673619,0.576,1.39203763100429,0.941,0.468,"1","WDHD1"
